version_id,gender,age,region,respondents
v04,Male,55-64,Rest of North Is.,3
v04,Male,55-64,Canterbury,3
v04,Male,55-64,Rest of South Is.,3
v04,Male,65+,Auckland,1
v04,Male,65+,Wellington,1
v04,Male,65+,Rest of North Is.,6
v04,Male,65+,Rest of South Is.,2
v04,Female,18-24,Auckland,6
v04,Female,18-24,Wellington,1
v04,Female,18-24,Rest of South Is.,1
v04,Female,25-34,Auckland,6
v04,Female,25-34,Wellington,1
v04,Female,25-34,Rest of North Is.,6
v04,Female,25-34,Rest of South Is.,3
v04,Female,35-44,Auckland,4
v04,Female,35-44,Wellington,1
v04,Female,35-44,Rest of North Is.,2
v04,Female,35-44,Canterbury,2
v04,Female,35-44,Rest of South Is.,2
v04,Female,45-54,Auckland,6
v04,Female,45-54,Wellington,1
v04,Female,45-54,Rest of North Is.,2
v04,Female,45-54,Canterbury,2
v04,Female,55-64,Auckland,2
v04,Female,55-64,Canterbury,1
v04,Female,55-64,Rest of South Is.,2
v04,Female,65+,Auckland,3
v04,Female,65+,Wellington,2
v04,Female,65+,Rest of North Is.,4
v04,Female,65+,Canterbury,3
v04,Female,65+,Rest of South Is.,4
v05,Male,18-24,Auckland,1
v05,Male,18-24,Wellington,2
v05,Male,18-24,Canterbury,3
v05,Male,18-24,Rest of South Is.,2
v05,Male,25-34,Auckland,5
v05,Male,25-34,Wellington,2
v05,Male,25-34,Rest of North Is.,2
v05,Male,25-34,Rest of South Is.,2
v05,Male,35-44,Auckland,1
v05,Male,35-44,Rest of North Is.,3
v05,Male,35-44,Canterbury,2
v05,Male,35-44,Rest of South Is.,2
v05,Male,45-54,Auckland,3
v05,Male,45-54,Wellington,2
v05,Male,45-54,Rest of North Is.,3
v05,Male,45-54,Canterbury,1
v05,Male,45-54,Rest of South Is.,1
v05,Male,55-64,Auckland,2
v05,Male,55-64,Wellington,3
v05,Male,55-64,Rest of North Is.,4
v05,Male,55-64,Rest of South Is.,1
v05,Male,65+,Auckland,2
v05,Male,65+,Rest of North Is.,6
v05,Male,65+,Canterbury,2
v05,Male,65+,Rest of South Is.,4
v05,Female,18-24,Auckland,6
v05,Female,18-24,Wellington,2
v05,Female,18-24,Canterbury,2
v05,Female,25-34,Auckland,4
v05,Female,25-34,Rest of North Is.,2
v05,Female,25-34,Canterbury,2
v05,Female,25-34,Rest of South Is.,5
v05,Female,35-44,Auckland,8
v05,Female,35-44,Rest of North Is.,3
v05,Female,35-44,Canterbury,2
v05,Female,45-54,Auckland,2
v05,Female,45-54,Rest of North Is.,5
v05,Female,45-54,Canterbury,4
v05,Female,45-54,Rest of South Is.,2
v05,Female,55-64,Auckland,8
v05,Female,55-64,Wellington,1
v05,Female,55-64,Rest of South Is.,1
v05,Female,65+,Auckland,3
v05,Female,65+,Rest of North Is.,4
v05,Female,65+,Rest of South Is.,2
v06,Male,18-24,Wellington,1
v06,Male,18-24,Rest of North Is.,6
v06,Male,18-24,Canterbury,1
v06,Male,18-24,Rest of South Is.,2
v06,Male,25-34,Auckland,1
v06,Male,25-34,Wellington,2
v06,Male,25-34,Rest of North Is.,4
v06,Male,25-34,Rest of South Is.,4
v06,Male,35-44,Auckland,15
v06,Male,45-54,Auckland,2
v06,Male,45-54,Rest of North Is.,3
v06,Male,45-54,Canterbury,1
v06,Male,45-54,Rest of South Is.,3
v06,Male,55-64,Auckland,4
v06,Male,55-64,Wellington,1
v06,Male,55-64,Rest of North Is.,2
v06,Male,55-64,Rest of South Is.,2
v06,Male,65+,Auckland,2
v06,Male,65+,Wellington,2
v06,Male,65+,Canterbury,3
v06,Male,65+,Rest of South Is.,2
v06,Female,18-24,Auckland,3
v06,Female,18-24,Wellington,1
v06,Female,18-24,Rest of South Is.,1
v06,Female,25-34,Auckland,5
v06,Female,25-34,Wellington,1
v06,Female,25-34,Rest of North Is.,3
v06,Female,25-34,Canterbury,2
v06,Female,25-34,Rest of South Is.,2
v06,Female,35-44,Auckland,3
v06,Female,35-44,Wellington,3
v06,Female,35-44,Rest of North Is.,2
v06,Female,45-54,Auckland,2
v06,Female,45-54,Wellington,2
v06,Female,45-54,Rest of North Is.,5
v06,Female,45-54,Canterbury,3
v06,Female,55-64,Auckland,2
v06,Female,55-64,Wellington,1
v06,Female,55-64,Rest of North Is.,4
v06,Female,55-64,Canterbury,2
v06,Female,55-64,Rest of South Is.,2
v06,Female,65+,Auckland,4
v06,Female,65+,Wellington,1
v06,Female,65+,Rest of North Is.,3
v06,Female,65+,Canterbury,4
v06,Female,65+,Rest of South Is.,3
v07,Male,18-24,Auckland,2
v07,Male,18-24,Rest of North Is.,2
v07,Male,18-24,Canterbury,1
v07,Male,25-34,Auckland,6
v07,Male,25-34,Wellington,3
v07,Male,25-34,Rest of North Is.,2
v07,Male,25-34,Canterbury,1
v07,Male,25-34,Rest of South Is.,3
v07,Male,35-44,Auckland,1
v07,Male,35-44,Wellington,2
v07,Male,35-44,Rest of North Is.,5
v07,Male,35-44,Canterbury,3
v07,Male,45-54,Auckland,5
v07,Male,45-54,Wellington,1
v07,Male,45-54,Rest of North Is.,2
v07,Male,45-54,Rest of South Is.,2
v07,Male,55-64,Auckland,2
v07,Male,55-64,Rest of North Is.,2
v07,Male,55-64,Canterbury,3
v07,Male,55-64,Rest of South Is.,1
v07,Male,65+,Auckland,7
v07,Male,65+,Rest of North Is.,5
v07,Male,65+,Rest of South Is.,1
v07,Female,18-24,Auckland,5
v07,Female,18-24,Wellington,1
v07,Female,18-24,Rest of North Is.,3
v07,Female,18-24,Canterbury,1
v07,Female,18-24,Rest of South Is.,1
v07,Female,25-34,Auckland,2
v07,Female,25-34,Wellington,3
v07,Female,25-34,Rest of North Is.,1
v07,Female,25-34,Canterbury,2
v07,Female,35-44,Auckland,6
v07,Female,35-44,Wellington,2
v07,Female,35-44,Canterbury,1
v07,Female,35-44,Rest of South Is.,3
v07,Female,45-54,Auckland,1
v07,Female,45-54,Rest of North Is.,3
v07,Female,45-54,Canterbury,2
v07,Female,45-54,Rest of South Is.,4
v07,Female,55-64,Auckland,1
v07,Female,55-64,Wellington,3
v07,Female,55-64,Rest of North Is.,1
v07,Female,55-64,Canterbury,2
v07,Female,55-64,Rest of South Is.,3
v07,Female,65+,Auckland,4
v07,Female,65+,Rest of North Is.,5
v07,Female,65+,Rest of South Is.,3
v08,Male,18-24,Rest of South Is.,2
v08,Male,25-34,Auckland,5
v08,Male,25-34,Wellington,2
v08,Male,25-34,Rest of North Is.,2
v08,Male,35-44,Auckland,5
v08,Male,35-44,Wellington,1
v08,Male,35-44,Rest of North Is.,2
v08,Male,35-44,Canterbury,1
v08,Male,35-44,Rest of South Is.,2
v08,Male,45-54,Auckland,4
v08,Male,45-54,Wellington,1
v08,Male,45-54,Rest of North Is.,1
v08,Male,45-54,Canterbury,2
v08,Male,45-54,Rest of South Is.,1
v08,Male,55-64,Auckland,3
v08,Male,55-64,Wellington,3
v08,Male,55-64,Rest of North Is.,1
v08,Male,55-64,Canterbury,1
v08,Male,55-64,Rest of South Is.,3
v08,Male,65+,Auckland,5
v08,Male,65+,Wellington,1
v08,Male,65+,Rest of North Is.,4
v08,Male,65+,Canterbury,4
v08,Male,65+,Rest of South Is.,4
v08,Female,18-24,Auckland,4
v08,Female,18-24,Rest of North Is.,5
v08,Female,18-24,Canterbury,2
v08,Female,18-24,Rest of South Is.,3
v08,Female,25-34,Auckland,5
v08,Female,25-34,Wellington,1
v08,Female,25-34,Rest of North Is.,5
v08,Female,25-34,Canterbury,2
v08,Female,25-34,Rest of South Is.,2
v08,Female,35-44,Auckland,1
v08,Female,35-44,Wellington,1
v08,Female,35-44,Rest of North Is.,6
v08,Female,35-44,Canterbury,1
v08,Female,35-44,Rest of South Is.,1
v08,Female,45-54,Auckland,1
v08,Female,45-54,Wellington,3
v08,Female,45-54,Rest of North Is.,5
v08,Female,45-54,Canterbury,1
v08,Female,45-54,Rest of South Is.,1
v08,Female,55-64,Auckland,6
v08,Female,55-64,Rest of South Is.,1
v08,Female,65+,Auckland,3
v08,Female,65+,Wellington,1
v08,Female,65+,Rest of North Is.,1
v08,Female,65+,Canterbury,1
v09,Male,18-24,Auckland,4
v09,Male,18-24,Rest of North Is.,3
v09,Male,18-24,Canterbury,1
v09,Male,18-24,Rest of South Is.,1
v09,Male,25-34,Rest of North Is.,4
v09,Male,25-34,Rest of South Is.,6
v09,Male,35-44,Auckland,6
v09,Male,35-44,Rest of North Is.,4
v09,Male,35-44,Canterbury,1
v09,Male,35-44,Rest of South Is.,1
v09,Male,45-54,Auckland,5
v09,Male,45-54,Rest of North Is.,2
v09,Male,45-54,Canterbury,4
v09,Male,55-64,Auckland,2
v09,Male,55-64,Wellington,1
v09,Male,55-64,Canterbury,2
v09,Male,65+,Auckland,3
v09,Male,65+,Wellington,1
v09,Male,65+,Rest of North Is.,6
v09,Male,65+,Canterbury,3
v09,Male,65+,Rest of South Is.,1
v09,Female,18-24,Auckland,5
v09,Female,18-24,Wellington,1
v09,Female,18-24,Rest of North Is.,1
v09,Female,25-34,Auckland,5
v09,Female,25-34,Wellington,1
v09,Female,25-34,Rest of North Is.,4
v09,Female,25-34,Rest of South Is.,3
v09,Female,35-44,Auckland,2
v09,Female,35-44,Rest of North Is.,2
v09,Female,35-44,Canterbury,1
v09,Female,35-44,Rest of South Is.,5
v09,Female,45-54,Auckland,1
v09,Female,45-54,Wellington,3
v09,Female,45-54,Rest of North Is.,3
v09,Female,45-54,Rest of South Is.,2
v09,Female,55-64,Auckland,5
v09,Female,55-64,Wellington,4
v09,Female,55-64,Rest of North Is.,1
v09,Female,55-64,Canterbury,3
v09,Female,55-64,Rest of South Is.,1
v09,Female,65+,Auckland,4
v09,Female,65+,Wellington,3
v09,Female,65+,Rest of North Is.,1
v09,Female,65+,Rest of South Is.,1
v10,Male,18-24,Auckland,3
v10,Male,18-24,Wellington,1
v10,Male,18-24,Rest of North Is.,1
v10,Male,18-24,Canterbury,2
v10,Male,25-34,Canterbury,2
v10,Male,25-34,Rest of South Is.,3
v10,Male,35-44,Auckland,5
v10,Male,35-44,Wellington,1
v10,Male,35-44,Rest of North Is.,2
v10,Male,35-44,Canterbury,1
v10,Male,35-44,Rest of South Is.,1
v10,Male,45-54,Auckland,6
v10,Male,45-54,Wellington,2
v10,Male,45-54,Rest of North Is.,1
v10,Male,45-54,Rest of South Is.,1
v10,Male,55-64,Auckland,4
v10,Male,55-64,Wellington,2
v10,Male,55-64,Rest of North Is.,3
v10,Male,55-64,Rest of South Is.,3
v10,Male,65+,Auckland,5
v10,Male,65+,Wellington,2
v10,Male,65+,Rest of North Is.,2
v10,Male,65+,Canterbury,3
v10,Male,65+,Rest of South Is.,1
v10,Female,18-24,Rest of North Is.,2
v10,Female,18-24,Canterbury,2
v10,Female,18-24,Rest of South Is.,4
v10,Female,25-34,Auckland,5
v10,Female,25-34,Wellington,2
v10,Female,25-34,Rest of North Is.,4
v10,Female,25-34,Canterbury,4
v10,Female,25-34,Rest of South Is.,3
v10,Female,35-44,Auckland,3
v10,Female,35-44,Wellington,1
v10,Female,35-44,Rest of North Is.,3
v10,Female,35-44,Rest of South Is.,2
v10,Female,45-54,Auckland,2
v10,Female,45-54,Rest of North Is.,5
v10,Female,45-54,Canterbury,1
v10,Female,45-54,Rest of South Is.,2
v10,Female,55-64,Wellington,1
v10,Female,55-64,Rest of North Is.,5
v10,Female,55-64,Canterbury,1
v10,Female,55-64,Rest of South Is.,2
v10,Female,65+,Auckland,7
v10,Female,65+,Rest of North Is.,2
v11,Male,18-24,Auckland,3
v11,Male,18-24,Rest of North Is.,1
v11,Male,18-24,Rest of South Is.,2
v11,Male,25-34,Auckland,2
v11,Male,25-34,Wellington,1
v11,Male,25-34,Rest of North Is.,6
v11,Male,25-34,Canterbury,2
v11,Male,25-34,Rest of South Is.,1
v11,Male,35-44,Auckland,2
v11,Male,35-44,Wellington,1
v11,Male,35-44,Rest of North Is.,1
v11,Male,35-44,Rest of South Is.,6
v11,Male,45-54,Auckland,3
v11,Male,45-54,Rest of North Is.,1
v11,Male,45-54,Canterbury,1
v11,Male,45-54,Rest of South Is.,3
v11,Male,55-64,Auckland,5
v11,Male,55-64,Wellington,2
v11,Male,55-64,Rest of South Is.,2
v11,Male,65+,Auckland,3
v11,Male,65+,Wellington,1
v11,Male,65+,Rest of North Is.,4
v11,Male,65+,Canterbury,2
v11,Male,65+,Rest of South Is.,1
v11,Female,18-24,Auckland,5
v11,Female,18-24,Rest of North Is.,2
v11,Female,18-24,Canterbury,2
v11,Female,18-24,Rest of South Is.,1
v11,Female,25-34,Auckland,4
v11,Female,25-34,Wellington,2
v11,Female,25-34,Rest of North Is.,4
v11,Female,25-34,Rest of South Is.,1
v11,Female,35-44,Auckland,5
v11,Female,35-44,Rest of North Is.,3
v11,Female,35-44,Canterbury,2
v11,Female,45-54,Auckland,7
v11,Female,45-54,Wellington,2
v11,Female,45-54,Rest of North Is.,1
v11,Female,45-54,Canterbury,2
v11,Female,55-64,Auckland,1
v11,Female,55-64,Wellington,1
v11,Female,55-64,Rest of North Is.,3
v11,Female,55-64,Canterbury,1
v11,Female,55-64,Rest of South Is.,2
v11,Female,65+,Auckland,3
v11,Female,65+,Wellington,1
v11,Female,65+,Rest of North Is.,2
v11,Female,65+,Canterbury,3
v11,Female,65+,Rest of South Is.,1
v12,Male,18-24,Auckland,4
v12,Male,18-24,Rest of North Is.,4
v12,Male,18-24,Canterbury,1
v12,Male,18-24,Rest of South Is.,1
v12,Male,25-34,Auckland,3
v12,Male,25-34,Wellington,4
v12,Male,25-34,Rest of North Is.,2
v12,Male,25-34,Canterbury,2
v12,Male,25-34,Rest of South Is.,2
v12,Male,35-44,Auckland,1
v12,Male,35-44,Wellington,2
v12,Male,35-44,Rest of North Is.,3
v12,Male,35-44,Canterbury,3
v12,Male,45-54,Auckland,5
v12,Male,45-54,Rest of North Is.,1
v12,Male,45-54,Rest of South Is.,1
v12,Male,55-64,Wellington,2
v12,Male,55-64,Rest of North Is.,4
v12,Male,55-64,Canterbury,1
v12,Male,65+,Auckland,3
v12,Male,65+,Rest of North Is.,4
v12,Male,65+,Rest of South Is.,3
v12,Female,18-24,Auckland,1
v12,Female,18-24,Rest of North Is.,2
v12,Female,18-24,Rest of South Is.,2
v12,Female,25-34,Auckland,3
v12,Female,25-34,Wellington,2
v12,Female,25-34,Rest of North Is.,1
v12,Female,25-34,Canterbury,1
v12,Female,25-34,Rest of South Is.,1
v12,Female,35-44,Auckland,6
v12,Female,35-44,Rest of North Is.,2
v12,Female,35-44,Canterbury,3
v12,Female,45-54,Auckland,6
v12,Female,45-54,Rest of North Is.,3
v12,Female,45-54,Rest of South Is.,4
v12,Female,55-64,Auckland,3
v12,Female,55-64,Wellington,1
v12,Female,55-64,Rest of North Is.,2
v12,Female,55-64,Canterbury,2
v12,Female,55-64,Rest of South Is.,3
v12,Female,65+,Auckland,5
v12,Female,65+,Rest of North Is.,2
v12,Female,65+,Canterbury,2
v12,Female,65+,Rest of South Is.,2
v13,Male,18-24,Auckland,1
v13,Male,18-24,Rest of North Is.,3
v13,Male,18-24,Canterbury,1
v13,Male,18-24,Rest of South Is.,3
v13,Male,25-34,Auckland,6
v13,Male,25-34,Rest of North Is.,2
v13,Male,25-34,Canterbury,2
v13,Male,25-34,Rest of South Is.,1
v13,Male,35-44,Auckland,3
v13,Male,35-44,Wellington,2
v13,Male,35-44,Rest of North Is.,2
v13,Male,45-54,Auckland,1
v13,Male,45-54,Wellington,3
v13,Male,45-54,Rest of North Is.,3
v13,Male,45-54,Canterbury,1
v13,Male,55-64,Auckland,4
v13,Male,55-64,Wellington,1
v13,Male,55-64,Canterbury,1
v13,Male,55-64,Rest of South Is.,1
v13,Male,65+,Auckland,1
v13,Male,65+,Wellington,3
v13,Male,65+,Rest of North Is.,8
v13,Male,65+,Rest of South Is.,2
v13,Female,18-24,Auckland,2
v13,Female,18-24,Rest of North Is.,2
v13,Female,18-24,Rest of South Is.,2
v13,Female,25-34,Auckland,5
v13,Female,25-34,Wellington,1
v13,Female,25-34,Canterbury,1
v13,Female,25-34,Rest of South Is.,6
v13,Female,35-44,Auckland,6
v13,Female,35-44,Wellington,1
v13,Female,35-44,Rest of North Is.,2
v13,Female,35-44,Canterbury,2
v13,Female,35-44,Rest of South Is.,1
v13,Female,45-54,Auckland,5
v13,Female,45-54,Wellington,1
v13,Female,45-54,Rest of North Is.,3
v13,Female,45-54,Rest of South Is.,1
v13,Female,55-64,Auckland,4
v13,Female,55-64,Rest of North Is.,2
v13,Female,55-64,Canterbury,1
v13,Female,55-64,Rest of South Is.,2
v13,Female,65+,Wellington,2
v13,Female,65+,Rest of North Is.,1
v13,Female,65+,Canterbury,4
v13,Female,65+,Rest of South Is.,1
v14,Male,18-24,Auckland,5
v14,Male,18-24,Wellington,1
v14,Male,18-24,Rest of North Is.,1
v14,Male,18-24,Canterbury,2
v14,Male,25-34,Auckland,6
v14,Male,25-34,Wellington,1
v14,Male,25-34,Rest of North Is.,1
v14,Male,25-34,Canterbury,1
v14,Male,25-34,Rest of South Is.,3
v14,Male,35-44,Auckland,1
v14,Male,35-44,Wellington,1
v14,Male,35-44,Rest of North Is.,3
v14,Male,35-44,Canterbury,1
v14,Male,35-44,Rest of South Is.,1
v14,Male,45-54,Auckland,2
v14,Male,45-54,Wellington,1
v14,Male,45-54,Rest of North Is.,2
v14,Male,45-54,Canterbury,1
v14,Male,45-54,Rest of South Is.,2
v14,Male,55-64,Auckland,3
v14,Male,55-64,Rest of North Is.,2
v14,Male,55-64,Canterbury,1
v14,Male,55-64,Rest of South Is.,2
v14,Male,65+,Auckland,4
v14,Male,65+,Wellington,1
v14,Male,65+,Rest of North Is.,1
v14,Male,65+,Canterbury,1
v14,Male,65+,Rest of South Is.,3
v14,Female,18-24,Auckland,3
v14,Female,18-24,Rest of North Is.,1
v14,Female,18-24,Canterbury,1
v14,Female,18-24,Rest of South Is.,1
v14,Female,25-34,Auckland,4
v14,Female,25-34,Rest of North Is.,1
v14,Female,25-34,Canterbury,4
v14,Female,35-44,Auckland,3
v14,Female,35-44,Wellington,2
v14,Female,35-44,Rest of North Is.,2
v14,Female,35-44,Rest of South Is.,5
v14,Female,45-54,Auckland,1
v14,Female,45-54,Wellington,2
v14,Female,45-54,Rest of North Is.,4
v14,Female,45-54,Canterbury,2
v14,Female,45-54,Rest of South Is.,1
v14,Female,55-64,Auckland,2
v14,Female,55-64,Wellington,1
v14,Female,55-64,Rest of North Is.,3
v14,Female,55-64,Canterbury,1
v14,Female,55-64,Rest of South Is.,1
v14,Female,65+,Auckland,3
v14,Female,65+,Wellington,2
v14,Female,65+,Rest of North Is.,6
v15,Male,18-24,Auckland,1
v15,Male,18-24,Wellington,2
v15,Male,18-24,Rest of North Is.,4
v15,Male,18-24,Rest of South Is.,3
v15,Male,25-34,Auckland,3
v15,Male,25-34,Rest of North Is.,1
v15,Male,25-34,Canterbury,2
v15,Male,35-44,Auckland,1
v15,Male,35-44,Rest of North Is.,3
v15,Male,35-44,Rest of South Is.,1
v15,Male,45-54,Auckland,5
v15,Male,45-54,Rest of North Is.,6
v15,Male,45-54,Canterbury,1
v15,Male,45-54,Rest of South Is.,1
v15,Male,55-64,Auckland,3
v15,Male,55-64,Rest of North Is.,3
v15,Male,55-64,Canterbury,2
v15,Male,55-64,Rest of South Is.,2
v15,Male,65+,Auckland,3
v15,Male,65+,Canterbury,1
v15,Male,65+,Rest of South Is.,4
v15,Female,18-24,Wellington,1
v15,Female,18-24,Rest of North Is.,3
v15,Female,18-24,Rest of South Is.,1
v15,Female,25-34,Auckland,4
v15,Female,25-34,Wellington,2
v15,Female,25-34,Rest of North Is.,2
v15,Female,25-34,Canterbury,4
v15,Female,35-44,Auckland,5
v15,Female,35-44,Wellington,2
v15,Female,35-44,Rest of North Is.,1
v15,Female,35-44,Canterbury,2
v15,Female,35-44,Rest of South Is.,2
v15,Female,45-54,Auckland,1
v15,Female,45-54,Rest of North Is.,3
v15,Female,45-54,Canterbury,1
v15,Female,55-64,Auckland,2
v15,Female,55-64,Wellington,1
v15,Female,55-64,Canterbury,1
v15,Female,55-64,Rest of South Is.,2
v15,Female,65+,Auckland,6
v15,Female,65+,Wellington,3
v15,Female,65+,Rest of North Is.,1
v15,Female,65+,Rest of South Is.,2
v16,Male,18-24,Auckland,1
v16,Male,18-24,Wellington,3
v16,Male,18-24,Rest of South Is.,1
v16,Male,25-34,Auckland,2
v16,Male,25-34,Rest of North Is.,8
v16,Male,25-34,Rest of South Is.,1
v16,Male,35-44,Auckland,1
v16,Male,35-44,Wellington,2
v16,Male,35-44,Rest of North Is.,2
v16,Male,35-44,Rest of South Is.,4
v16,Male,45-54,Auckland,5
v16,Male,45-54,Canterbury,2
v16,Male,45-54,Rest of South Is.,2
v16,Male,55-64,Auckland,4
v16,Male,55-64,Canterbury,2
v16,Male,55-64,Rest of South Is.,1
v16,Male,65+,Auckland,4
v16,Male,65+,Wellington,1
v16,Male,65+,Canterbury,4
v16,Female,18-24,Wellington,2
v16,Female,18-24,Rest of North Is.,2
v16,Female,18-24,Canterbury,2
v16,Female,18-24,Rest of South Is.,1
v16,Female,25-34,Auckland,3
v16,Female,25-34,Rest of North Is.,2
v16,Female,25-34,Canterbury,1
v16,Female,25-34,Rest of South Is.,5
v16,Female,35-44,Auckland,5
v16,Female,35-44,Wellington,1
v16,Female,35-44,Rest of North Is.,1
v16,Female,35-44,Canterbury,1
v16,Female,45-54,Auckland,3
v16,Female,45-54,Wellington,2
v16,Female,45-54,Rest of North Is.,2
v16,Female,45-54,Rest of South Is.,2
v16,Female,55-64,Auckland,5
v16,Female,55-64,Rest of North Is.,3
v16,Female,55-64,Canterbury,1
v16,Female,65+,Auckland,2
