version_id,respondents,n_qualifiers,expected_interview_seconds,clusters,categories
v25,87,10,411.8,baby|bnpl|confectionery|investing|outdoor,"Fertility or IVF service|Baby products|Luxury Leather Bags/Accessories|Shares, brokers, and trading apps/website|Buy Now Pay Later (Laybuy)|Recruitment|Free-from Baked Goods|Outdoor Apparel|Floor Cleaning Appliances|Sugar confectionery"
v26,85,10,423.9,alcohol|baby|skincare,Fertility or IVF service|Funeral Services|Nappies & wipes|Dark Spirits|Vocational Training|Free-from Baked Goods|Skincare (Female Only)|Prescription Eyewear|Children's Television|Fast Food
v27,82,10,396.8,alcohol|baby|bnpl|investing|womens_fashion,"Fertility or IVF service|Baby products|Designer Women's Clothing|Craft Beer|Baby and Child Products|Shares, brokers, and trading apps/website|Alcohol Free Drinks|Buy Now Pay Later (Laybuy)|Healthy Snacks|Healthy Beverages"
v28,81,10,406.8,alcohol|baby|skincare|womens_fashion,Big and Tall Men's Clothing|Baby products|Online Healthcare|Funeral Services|Craft Beer|Vocational Training|Women's Activewear (Female Only)|Female Fashion|Furniture & Homeware|Suncare
v29,78,10,380.1,alcohol|baby|skincare|vehicle_rental,Baby products|Online Healthcare|Weight-loss|Dark Spirits|Fresh Coffee|Car & Motorhome Rentals|Period Products|Skincare (Female Only)|Umbrellas|Floor Cleaning Appliances
v30,78,10,418.8,baby|bnpl|vehicle_rental,Baby products|Online Healthcare|Car & Motorhome Rentals|Men's Online Health Providers|Buy Now Pay Later (Gimmie)|Meal Kit Delivery Service|Natural Health Supplements|Dog Food|Mental Performance Supplements|Furniture & Homeware
v31,77,10,426.1,alcohol|skincare|womens_fashion,Fertility or IVF service|Big and Tall Men's Clothing|Weight-loss|Dark Spirits|Women's Activewear (Female Only)|Beddings|Skincare|Dog Food|Female Clothing (Black Pepper)|Healthy Beverages
v32,74,10,418.8,baby|outdoor,Fertility or IVF service|Baby Feeding|Accounting Services (Sole Traders)|Weight-loss|Fresh Coffee|Vocational Training|Luxury Leather Bags/Accessories|Outdoor Apparel|Mental Performance Supplements|Healthy Beverages
v33,74,10,420.8,alcohol|investing,Fertility or IVF service|Big and Tall Men's Clothing|Men's Online Health Providers|Luxury Leather Bags/Accessories|Online Betting Services|Alcohol Free Drinks|Pre-mixed alcoholic drinks/RTDs|Furniture & Homeware|Floor Cleaning Appliances|Wealth Management
v34,73,10,424.4,alcohol|baby|car_ownership|vehicle_rental,Baby products|Car Finance|Car Rental|Fresh Coffee|Men's Online Health Providers|Pre-mixed alcoholic drinks/RTDs|Natural Health Supplements|Prescription Eyewear|Indoor & Outdoor Cleaners|Blinds & Window Furnishings
v35,68,10,428.0,alcohol|baby|womens_fashion,Fertility or IVF service|Baby products|Weight-loss|Craft Beer|Men's Online Health Providers|Period Products|Female Clothing (Black Pepper)|Mental Performance Supplements|Eco Products|Breakfast or Health Foods
v36,66,10,410.9,baby|car_ownership|investing|vehicle_rental|womens_fashion,"Baby Feeding|Car Finance|Designer Women's Clothing|Car Rental|Car & Motorhome Rentals|Shares, brokers, and trading apps/website|Online Betting Services|Free-from Baked Goods|Health & Beauty Retailers|Eco Products"
v37,63,10,401.5,alcohol|car_ownership|confectionery|womens_fashion,Big and Tall Men's Clothing|Online Healthcare|Car Finance|Online Betting Services|Women's Activewear (Female Only)|White Spirits|Real Estate Service|Peanut or Nut Butter|Healthy Snacks|Sugar confectionery
v38,56,10,413.8,alcohol|bnpl|car_ownership|womens_fashion,Online Healthcare|Designer Women's Clothing|Vocational Training|Car Modifications|Buy Now Pay Later (Gimmie)|Alcohol Free Drinks|Pre-mixed alcoholic drinks/RTDs|Free-from Baked Goods|Female Clothing (Black Pepper)|Kitchenware Retailers
v39,54,10,422.2,alcohol|baby|car_ownership|skincare|womens_fashion,Self Tan (Female Only)|Baby Feeding|Baby products|Alcohol Free Drinks|Alcohol Free Beer|Women's Activewear (Female Only)|Beddings|Free-from Baked Goods|Peanut or Nut Butter|Car Insurance
v40,54,10,403.2,alcohol|baby|bnpl,"Fertility or IVF service|Baby Feeding|Weight-loss|Luxury Leather Bags/Accessories|Buy Now Pay Later (Gimmie)|Alcohol Free Beer|Indoor & Outdoor Cleaners|Furniture & Homeware|Mattresses, beds, and pillows|Fast Food"
v41,51,10,415.6,bnpl|outdoor|womens_fashion,"Fertility or IVF service|Big and Tall Men's Clothing|Funeral Services|Online Betting Services|Buy Now Pay Later (Laybuy)|Natural Health Supplements|Outdoor Pursuits Apparel|Female Clothing (Black Pepper)|Peanut or Nut Butter|Chips, Crisps, Crackers"
v42,45,10,430.1,alcohol|car_ownership|investing|womens_fashion,"Big and Tall Men's Clothing|Car Finance|Shares, brokers, and trading apps/website|Pre-mixed alcoholic drinks/RTDs|Meal Kit Delivery Service|Women's Activewear (Female Only)|Peanut or Nut Butter|Umbrellas|Massage, beauty and Wellness Services|Mattresses, beds, and pillows"
v43,43,10,428.0,confectionery|investing|womens_fashion,"Big and Tall Men's Clothing|Accounting Services (Sole Traders)|Fresh Coffee|Shares, brokers, and trading apps/website|Men's Clothing (Male Only)|Female Clothing (Black Pepper)|Real Estate Service|Prescription Eyewear|Umbrellas|Chocolate"
v44,43,10,427.0,alcohol|outdoor|skincare,"Fertility or IVF service|Big and Tall Men's Clothing|Period Products|Alcohol Free Drinks|Recruitment|Dog Food|Skincare (Female Only)|Outdoor Apparel|Health & Beauty Retailers|Mattresses, beds, and pillows"
v45,42,10,426.0,investing,"Big and Tall Men's Clothing|Online Healthcare|Funeral Services|Accounting Services (Sole Traders)|Shares, brokers, and trading apps/website|Meal Kit Delivery Service|Nutrition & Fitness Services|Indoor & Outdoor Cleaners|Coffee|Kitchenware Retailers"
v46,35,10,234.1,alcohol|baby|skincare|womens_fashion,Fertility or IVF service|Self Tan (Female Only)|Dark Spirits|Vocational Training|Baby and Child Products|Online Betting Services|Men's Clothing (Male Only)|Women's Activewear (Female Only)|Mental Performance Supplements|Indoor & Outdoor Cleaners
v47,33,10,420.9,alcohol|investing,"Fertility or IVF service|Weight-loss|Craft Beer|Luxury Leather Bags/Accessories|Shares, brokers, and trading apps/website|Online Betting Services|Alcohol Free Drinks|Beddings|Prescription Eyewear|Kitchenware Retailers"
v48,31,10,421.9,confectionery|investing|skincare,"Fertility or IVF service|Self Tan (Female Only)|Funeral Services|Period Products|Shares, brokers, and trading apps/website|Beddings|Blinds & Window Furnishings|Furniture & Homeware|Umbrellas|Chocolate bars and blocks"
v49,28,10,424.2,alcohol|baby|confectionery|skincare,Fertility or IVF service|Weight-loss|Baby and Child Products|Alcohol Free Drinks|Pre-mixed alcoholic drinks/RTDs|Natural Health Supplements|Children's Television|Suncare|Sugar confectionery|Eco Products
v50,22,10,430.1,alcohol|baby|bnpl|confectionery|womens_fashion,Designer Women's Clothing|Nappies & wipes|Vocational Training|Period Products|Buy Now Pay Later (Gimmie)|Women's Activewear (Female Only)|Natural Health Supplements|White Spirits|Chocolate|Eco Products
v51,19,10,424.4,alcohol|baby|car_ownership|skincare|vehicle_rental|womens_fashion,Self Tan (Female Only)|Nappies & wipes|Accounting Services (Sole Traders)|Car & Motorhome Rentals|Period Products|Car Modifications|Pre-mixed alcoholic drinks/RTDs|Female Fashion|Healthy Snacks|Furniture & Homeware
v52,18,10,425.3,baby|outdoor|skincare,Self Tan (Female Only)|Accounting Services (Sole Traders)|Weight-loss|Men's Online Health Providers|Period Products|Baby and Child Products|Dog Food|Outdoor Pursuits Apparel|Nutrition & Fitness Services|Fast Food
v53,17,10,428.4,baby|investing|womens_fashion,"Online Healthcare|Nappies & wipes|Fresh Coffee|Period Products|Shares, brokers, and trading apps/website|Women's Activewear (Female Only)|Dog Food|Mattresses, beds, and pillows|Chips, Crisps, Crackers|Kitchenware Retailers"
v54,16,10,409.0,baby|car_ownership|confectionery|skincare|womens_fashion,Fertility or IVF service|Baby products|Car Modifications|Women's Activewear (Female Only)|Skincare (Female Only)|Nutrition & Fitness Services|Healthy Snacks|Children's Television|Mental Performance Supplements|Chocolate bars and blocks
v55,15,10,421.5,alcohol|vehicle_rental,"Car Rental|Car & Motorhome Rentals|Vocational Training|Period Products|Alcohol Free Drinks|Recruitment|Peanut or Nut Butter|Children's Television|Indoor & Outdoor Cleaners|Massage, beauty and Wellness Services"
v56,14,10,140.3,alcohol|baby|investing|vehicle_rental|womens_fashion,"Fertility or IVF service|Big and Tall Men's Clothing|Baby products|Nappies & wipes|Car Rental|Accounting Services (Sole Traders)|Shares, brokers, and trading apps/website|Alcohol Free Drinks|White Spirits|Female Clothing (Black Pepper)"
v57,14,10,417.1,baby|bnpl|outdoor,Big and Tall Men's Clothing|Baby Feeding|Nappies & wipes|Men's Online Health Providers|Buy Now Pay Later (Laybuy)|Outdoor Pursuits Apparel|Real Estate Service|Children's Television|Blinds & Window Furnishings|Furniture & Homeware
v58,11,10,426.3,alcohol|bnpl|car_ownership|outdoor|womens_fashion,Craft Beer|Men's Online Health Providers|Car Modifications|Online Betting Services|Buy Now Pay Later (Gimmie)|Alcohol Free Drinks|Women's Activewear (Female Only)|Camping Equipments|Health & Beauty Retailers|Car Insurance
v59,9,10,422.8,alcohol|bnpl|confectionery|investing|skincare|womens_fashion,"Dark Spirits|Craft Beer|Period Products|Shares, brokers, and trading apps/website|Buy Now Pay Later (Gimmie)|Dog Food|Female Skincare|Female Fashion|Mental Performance Supplements|Sugar confectionery"
v60,9,10,343.8,alcohol|bnpl|vehicle_rental|womens_fashion,Fertility or IVF service|Big and Tall Men's Clothing|Car Rental|Fresh Coffee|Craft Beer|Online Betting Services|Buy Now Pay Later (Gimmie)|Women's Activewear (Female Only)|Free-from Baked Goods|Peanut or Nut Butter
v61,9,10,431.1,alcohol|baby|car_ownership|confectionery,Baby Feeding|Baby products|Car Finance|Vocational Training|Alcohol Free Drinks|Men's Clothing (Male Only)|Recruitment|Chocolate confectionery|Sugar confectionery|Fast Food
v62,8,10,416.7,alcohol|investing|skincare|vehicle_rental|womens_fashion,"Craft Beer|Car & Motorhome Rentals|Period Products|Luxury Leather Bags/Accessories|Pre-mixed alcoholic drinks/RTDs|Men's Clothing (Male Only)|Women's Activewear (Female Only)|Shares, funds, and term deposits|Skincare|Real Estate Service"
v63,7,10,432.0,alcohol|bnpl|confectionery|investing,"Fertility or IVF service|Big and Tall Men's Clothing|Dark Spirits|Shares, brokers, and trading apps/website|Buy Now Pay Later (Gimmie)|Men's Clothing (Male Only)|Natural Health Supplements|Children's Television|Health & Beauty Retailers|Chocolate confectionery"
v64,7,10,419.9,alcohol|car_ownership|outdoor|skincare,"Car Finance|Accounting Services (Sole Traders)|Alcohol Free Drinks|Men's Clothing (Male Only)|Camping Equipments|Female Skincare|Real Estate Service|Suncare|Floor Cleaning Appliances|Mattresses, beds, and pillows"
v65,7,10,432.8,alcohol|baby|investing|outdoor|skincare|vehicle_rental|womens_fashion,"Self Tan (Female Only)|Car & Motorhome Rentals|Baby and Child Products|Shares, brokers, and trading apps/website|Alcohol Free Drinks|Women's Activewear (Female Only)|Outdoor Apparel|Blinds & Window Furnishings|Fast Food|Breakfast or Health Foods"
v66,6,10,432.9,confectionery|outdoor|vehicle_rental|womens_fashion,"Big and Tall Men's Clothing|Car & Motorhome Rentals|Online Betting Services|Recruitment|Camping Equipments|Real Estate Service|Female Fashion|Children's Television|Mattresses, beds, and pillows|Chocolate bars and blocks"
v67,6,10,429.9,alcohol,"Fertility or IVF service|Alcohol Free Drinks|Meal Kit Delivery Service|Natural Health Supplements|Free-from Baked Goods|Real Estate Service|Indoor & Outdoor Cleaners|Umbrellas|Chips, Crisps, Crackers|Eco Products"
v68,4,10,423.1,baby|outdoor,Big and Tall Men's Clothing|Funeral Services|Nappies & wipes|Luxury Leather Bags/Accessories|Beddings|Free-from Baked Goods|Camping Equipments|Dog Food|Healthy Snacks|Umbrellas
v69,3,10,432.3,bnpl|confectionery|outdoor|womens_fashion,Online Healthcare|Accounting Services (Sole Traders)|Buy Now Pay Later (Gimmie)|Women's Activewear (Female Only)|Outdoor Pursuits Apparel|Female Clothing (Black Pepper)|Children's Television|Indoor & Outdoor Cleaners|Healthy Beverages|Chocolate bars and blocks
v70,3,10,434.2,alcohol|baby|car_ownership|womens_fashion,"Baby products|Online Healthcare|Designer Women's Clothing|Nappies & wipes|White Spirits|Mental Performance Supplements|Massage, beauty and Wellness Services|Health & Beauty Retailers|Coffee|Car Insurance"
v71,2,10,427.4,baby|vehicle_rental,Big and Tall Men's Clothing|Baby Feeding|Car Rental|Period Products|Baby and Child Products|Meal Kit Delivery Service|Prescription Eyewear|Mental Performance Supplements|Floor Cleaning Appliances|Kitchenware Retailers
v72,2,10,425.9,alcohol|baby|confectionery|skincare|womens_fashion,Big and Tall Men's Clothing|Baby products|Designer Women's Clothing|Dark Spirits|Baby and Child Products|Luxury Leather Bags/Accessories|Female Skincare|Peanut or Nut Butter|Chocolate bars and blocks|Eco Products
v73,2,10,426.3,alcohol|confectionery|investing|vehicle_rental|womens_fashion,Big and Tall Men's Clothing|Car Rental|Accounting Services (Sole Traders)|Dark Spirits|Craft Beer|Female Clothing (Black Pepper)|Healthy Snacks|Coffee|Wealth Management|Chocolate bars and blocks
v74,2,10,417.7,alcohol|confectionery|investing|womens_fashion,"Designer Women's Clothing|Accounting Services (Sole Traders)|Fresh Coffee|Recruitment|Alcohol Free Beer|Shares, funds, and term deposits|Natural Health Supplements|Female Clothing (Black Pepper)|Floor Cleaning Appliances|Sugar confectionery"
v75,2,10,430.7,alcohol|investing|outdoor|skincare,"Shares, brokers, and trading apps/website|Online Betting Services|Pre-mixed alcoholic drinks/RTDs|Alcohol Free Beer|Camping Equipments|Female Skincare|Skincare (Female Only)|Outdoor Apparel|Children's Television|Furniture & Homeware"
v76,1,10,432.6,alcohol|baby|confectionery|vehicle_rental,"Fertility or IVF service|Car Rental|Accounting Services (Sole Traders)|Dark Spirits|Men's Online Health Providers|Baby and Child Products|Furniture & Homeware|Chips, Crisps, Crackers|Sugar confectionery|Breakfast or Health Foods"
v77,1,10,420.8,alcohol|skincare|womens_fashion,"Luxury Leather Bags/Accessories|Alcohol Free Drinks|Women's Activewear (Female Only)|Beddings|Skincare (Female Only)|Female Clothing (Black Pepper)|Blinds & Window Furnishings|Massage, beauty and Wellness Services|Chips, Crisps, Crackers|Fast Food"
